id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
3054,1,3,7,0,24,1,4,1,2,2,0,2,31400,1,0,2,31400,1,200400,40080,0,2,13,1,16,0,3,0,495.65903709550116,0.0,495.65903709550116,3163.3780584056826,632.6756116811365,2,0,1,1,0,1,0
3054,1,4,7,0,28,1,4,No corresponde,No corresponde,2,0,2,29000,1,0,2,29000,1,200400,40080,1,1,1,1,15,0,3,0,457.7742699289661,0.0,457.7742699289661,3163.3780584056826,632.6756116811365,2,1,0,1,0,1,0
3054,1,5,7,0,15,1,4,1,2,1,1,1,0,1,0,1,0,1,200400,40080,0,2,11,0,8,0,1,0,0.0,0.0,0.0,3163.3780584056826,632.6756116811365,4,1,0,1,0,1,0
3055,1,1,3,0,53,2,0,No corresponde,No corresponde,2,0,3,60000,1,0,3,60000,2,110000,36667,1,1,1,1,14,1,0,0,947.119179163378,0.0,947.119179163378,1736.3851617995265,578.800315706393,2,0,1,1,0,1,0
3055,1,2,3,0,56,0,0,No corresponde,No corresponde,2,0,3,50000,1,0,3,50000,2,110000,36667,1,1,1,5,17,6,3,1,789.2659826361484,0.0,789.2659826361484,1736.3851617995265,578.800315706393,2,1,0,0,1,1,0
3055,1,3,3,0,18,1,4,1,2,1,1,1,0,1,0,1,0,2,110000,36667,0,0,13,1,12,0,3,0,0.0,0.0,0.0,1736.3851617995265,578.800315706393,4,1,0,1,0,1,0
3056,1,1,15,0,53,2,3,No corresponde,No corresponde,2,4,3,50000,1,0,3,50000,2,62500,31250,1,1,1,1,14,0,3,0,789.2659826361484,0.0,789.2659826361484,986.5824782951854,493.2912391475927,2,0,1,1,0,1,0
3056,1,2,15,0,90,6,6,No corresponde,No corresponde,1,1,1,0,3,12500,3,12500,2,62500,31250,1,1,1,2,7,6,1,1,0.0,197.3164956590371,197.3164956590371,986.5824782951854,493.2912391475927,1,1,0,0,1,1,0
3057,1,1,9,0,53,2,0,No corresponde,No corresponde,2,0,3,44000,1,0,3,44000,2,104000,34667,1,1,1,5,15,0,1,0,694.5540647198105,0.0,694.5540647198105,1641.6732438831887,547.2296764009471,2,0,1,1,0,1,0
3057,1,2,9,0,51,0,0,No corresponde,No corresponde,2,0,3,60000,1,0,3,60000,2,104000,34667,1,1,1,5,17,0,1,0,947.119179163378,0.0,947.119179163378,1641.6732438831887,547.2296764009471,2,1,0,1,0,1,0
